1100	13.33
1110	12.24
1120	11.4
1130	10.67
1140	10.01
1150	9.32
1160	8.64
1170	8.06
1180	7.41
1190	6.93
1200	6.36
1210	5.85
1220	5.29
1230	4.82
1240	4.44
1250	4.09
1260	3.73
1270	3.37
1280	2.99
1290	2.76
1300	2.46
1310	2.19
1320	1.91
1330	1.67
1340	1.47
1350	1.29
1360	1.11
1370	0.95
1380	0.79
1390	0.66
1400	0.55
1410	0.46
1420	0.37
1430	0.29
1440	0.23
1450	0.17
1460	0.13
1470	0.09
1480	0.03
1500	0.05
1510	0.04
1520	0.04
1530	0.1
1540	0.14
1550	0.18
1560	0.23
1570	0.3
1580	0.39
1590	0.49
1600	0.6
1610	0.72
1620	0.8
1630	0.98
1640	1.2
1650	1.4
1660	1.61
1670	1.82
1680	2.06
1690	2.36
1700	2.67
1710	3.01
1720	3.32
1730	3.67
1740	4.04
1750	4.38
1760	4.75
1770	5.22
1780	5.66
1790	6.16
1800	6.73
1810	7.24
1820	7.86
1830	8.43
1840	8.91
1850	9.57
1860	10.24
1870	10.87
1880	11.62
1890	12.4
1900	13.26
